Move Name,Move Type,Move Class,Pokemon Name,Pokemon Type,Pokemon Type2
Acid Spray,Poison,Charge,Accelgor,Bug,
Acid Spray,Poison,Charge,Arbok,Poison,
Acid Spray,Poison,Charge,Arbok Normal,Poison,
Acid Spray,Poison,Charge,Arbok Purified,Poison,
Acid Spray,Poison,Charge,Arbok Shadow,Poison,
Acid Spray,Poison,Charge,Eelektross,Electric,
Acid Spray,Poison,Charge,Escavalier,Bug,Steel
Acid Spray,Poison,Charge,Ferrothorn,Grass,Steel
Acid Spray,Poison,Charge,Garbodor,Poison,
Acid Spray,Poison,Charge,Muk,Poison,
Acid Spray,Poison,Charge,Muk Alola,Poison,Dark
Acid Spray,Poison,Charge,Muk Normal,Poison,
Acid Spray,Poison,Charge,Muk Purified,Poison,
Acid Spray,Poison,Charge,Muk Shadow,Poison,
Acid Spray,Poison,Charge,Octillery,Water,
Acid Spray,Poison,Charge,Quagsire,Water,Ground
Acid Spray,Poison,Charge,Qwilfish,Water,Poison
Acid Spray,Poison,Charge,Scrafty,Dark,Fighting
Acid Spray,Poison,Charge,Scraggy,Dark,Fighting
Acid Spray,Poison,Charge,Swalot,Poison,
Acid Spray,Poison,Charge,Tentacruel,Water,Poison
Acid Spray,Poison,Charge,Victreebel,Grass,Poison
Acid Spray,Poison,Charge,Victreebel Normal,Grass,Poison
Acid Spray,Poison,Charge,Victreebel Purified,Grass,Poison
Acid Spray,Poison,Charge,Victreebel Shadow,Grass,Poison
Aerial Ace,Flying,Charge,Aipom,Normal,
Aerial Ace,Flying,Charge,Ambipom,Normal,
Aerial Ace,Flying,Charge,Beedrill,Bug,Poison
Aerial Ace,Flying,Charge,Beedrill Normal,Bug,Poison
Aerial Ace,Flying,Charge,Beedrill Purified,Bug,Poison
Aerial Ace,Flying,Charge,Beedrill Shadow,Bug,Poison
Aerial Ace,Flying,Charge,Delibird,Ice,Flying
Aerial Ace,Flying,Charge,Delibird Normal,Ice,Flying
Aerial Ace,Flying,Charge,Delibird Purified,Ice,Flying
Aerial Ace,Flying,Charge,Delibird Shadow,Ice,Flying
Aerial Ace,Flying,Charge,Dodrio,Normal,Flying
Aerial Ace,Flying,Charge,Doduo,Normal,Flying
Aerial Ace,Flying,Charge,Ducklett,Water,Flying
Aerial Ace,Flying,Charge,Emolga,Electric,Flying
Aerial Ace,Flying,Charge,Escavalier,Bug,Steel
Aerial Ace,Flying,Charge,Farfetchd,Normal,Flying
Aerial Ace,Flying,Charge,Fearow,Normal,Flying
Aerial Ace,Flying,Charge,Glameow,Normal,
Aerial Ace,Flying,Charge,Gligar,Ground,Flying
Aerial Ace,Flying,Charge,Gliscor,Ground,Flying
Aerial Ace,Flying,Charge,Grovyle,Grass,
Aerial Ace,Flying,Charge,Hoothoot,Normal,Flying
Aerial Ace,Flying,Charge,Karrablast,Bug,
Aerial Ace,Flying,Charge,Kecleon,Normal,
Aerial Ace,Flying,Charge,Kricketune,Bug,
Aerial Ace,Flying,Charge,Ledian,Bug,Flying
Aerial Ace,Flying,Charge,Ledyba,Bug,Flying
Aerial Ace,Flying,Charge,Mandibuzz,Dark,Flying
Aerial Ace,Flying,Charge,Mantine,Water,Flying
Aerial Ace,Flying,Charge,Mantyke,Water,Flying
Aerial Ace,Flying,Charge,Maractus,Grass,
Aerial Ace,Flying,Charge,Mothim,Bug,Flying
Aerial Ace,Flying,Charge,Nincada,Bug,Ground
Aerial Ace,Flying,Charge,Ninjask,Bug,Flying
Aerial Ace,Flying,Charge,Pidgeot,Normal,Flying
Aerial Ace,Flying,Charge,Pidgeotto,Normal,Flying
Aerial Ace,Flying,Charge,Pidgey,Normal,Flying
Aerial Ace,Flying,Charge,Pidove,Normal,Flying
Aerial Ace,Flying,Charge,Purugly,Normal,
Aerial Ace,Flying,Charge,Rayquaza,Dragon,Flying
Aerial Ace,Flying,Charge,Rufflet,Normal,Flying
Aerial Ace,Flying,Charge,Sceptile,Grass,
Aerial Ace,Flying,Charge,Scyther,Bug,Flying
Aerial Ace,Flying,Charge,Scyther Normal,Bug,Flying
Aerial Ace,Flying,Charge,Scyther Purified,Bug,Flying
Aerial Ace,Flying,Charge,Scyther Shadow,Bug,Flying
Aerial Ace,Flying,Charge,Serperior,Grass,
Aerial Ace,Flying,Charge,Shedinja,Bug,Ghost
Aerial Ace,Flying,Charge,Spearow,Normal,Flying
Aerial Ace,Flying,Charge,Staravia,Normal,Flying
Aerial Ace,Flying,Charge,Starly,Normal,Flying
Aerial Ace,Flying,Charge,Swablu,Normal,Flying
Aerial Ace,Flying,Charge,Swellow,Normal,Flying
Aerial Ace,Flying,Charge,Swoobat,Psychic,Flying
Aerial Ace,Flying,Charge,Taillow,Normal,Flying
Aerial Ace,Flying,Charge,Togekiss,Fairy,Flying
Aerial Ace,Flying,Charge,Togetic,Fairy,Flying
Aerial Ace,Flying,Charge,Tranquill,Normal,Flying
Aerial Ace,Flying,Charge,Treecko,Grass,
Aerial Ace,Flying,Charge,Tropius,Grass,Flying
Aerial Ace,Flying,Charge,Woobat,Psychic,Flying
Aerial Ace,Flying,Charge,Xatu,Psychic,Flying
Aerial Ace,Flying,Charge,Yanma,Bug,Flying
Aerial Ace,Flying,Charge,Yanmega,Bug,Flying
Aerial Ace,Flying,Charge,Zorua,Dark,
Air Cutter,Flying,Charge,Beautifly,Bug,Flying
Air Cutter,Flying,Charge,Crobat,Poison,Flying
Air Cutter,Flying,Charge,Crobat Normal,Poison,Flying
Air Cutter,Flying,Charge,Crobat Purified,Poison,Flying
Air Cutter,Flying,Charge,Crobat Shadow,Poison,Flying
Air Cutter,Flying,Charge,Farfetchd,Normal,Flying
Air Cutter,Flying,Charge,Golbat,Poison,Flying
Air Cutter,Flying,Charge,Golbat Normal,Poison,Flying
Air Cutter,Flying,Charge,Golbat Purified,Poison,Flying
Air Cutter,Flying,Charge,Golbat Shadow,Poison,Flying
Air Cutter,Flying,Charge,Masquerain,Bug,Flying
Air Cutter,Flying,Charge,Pidgeotto,Normal,Flying
Air Cutter,Flying,Charge,Pidgey,Normal,Flying
Air Cutter,Flying,Charge,Pidove,Normal,Flying
Air Cutter,Flying,Charge,Sigilyph,Psychic,Flying
Air Cutter,Flying,Charge,Wingull,Water,Flying
Air Cutter,Flying,Charge,Woobat,Psychic,Flying
Air Cutter,Flying,Charge,Zubat,Poison,Flying
Air Cutter,Flying,Charge,Zubat Normal,Poison,Flying
Air Cutter,Flying,Charge,Zubat Purified,Poison,Flying
Air Cutter,Flying,Charge,Zubat Shadow,Poison,Flying
Air Slash,Flying,Fast,Braviary,Normal,Flying
Air Slash,Flying,Fast,Charizard,Fire,Flying
Air Slash,Flying,Fast,Charizard Normal,Fire,Flying
Air Slash,Flying,Fast,Charizard Purified,Fire,Flying
Air Slash,Flying,Fast,Charizard Shadow,Fire,Flying
Air Slash,Flying,Fast,Crobat,Poison,Flying
Air Slash,Flying,Fast,Crobat Normal,Poison,Flying
Air Slash,Flying,Fast,Crobat Purified,Poison,Flying
Air Slash,Flying,Fast,Crobat Shadow,Poison,Flying
Air Slash,Flying,Fast,Farfetchd,Normal,Flying
Air Slash,Flying,Fast,Mandibuzz,Dark,Flying
Air Slash,Flying,Fast,Masquerain,Bug,Flying
Air Slash,Flying,Fast,Mothim,Bug,Flying
Air Slash,Flying,Fast,Pidgeot,Normal,Flying
Air Slash,Flying,Fast,Pidove,Normal,Flying
Air Slash,Flying,Fast,Rayquaza,Dragon,Flying
Air Slash,Flying,Fast,Rotom Fan,Electric,Flying
Air Slash,Flying,Fast,Scyther,Bug,Flying
Air Slash,Flying,Fast,Scyther Normal,Bug,Flying
Air Slash,Flying,Fast,Scyther Purified,Bug,Flying
Air Slash,Flying,Fast,Scyther Shadow,Bug,Flying
Air Slash,Flying,Fast,Sigilyph,Psychic,Flying
Air Slash,Flying,Fast,Skarmory,Steel,Flying
Air Slash,Flying,Fast,Swanna,Water,Flying
Air Slash,Flying,Fast,Swoobat,Psychic,Flying
Air Slash,Flying,Fast,Togekiss,Fairy,Flying
Air Slash,Flying,Fast,Tornadus,Flying,
Air Slash,Flying,Fast,Tornadus Incarnate,Flying,
Air Slash,Flying,Fast,Tornadus Therian,Flying,
Air Slash,Flying,Fast,Tranquill,Normal,Flying
Air Slash,Flying,Fast,Tropius,Grass,Flying
Air Slash,Flying,Fast,Unfezant,Normal,Flying
Air Slash,Flying,Fast,Vullaby,Dark,Flying
Air Slash,Flying,Fast,Woobat,Psychic,Flying
Air Slash,Flying,Fast,Xatu,Psychic,Flying
Ancient Power,Rock,Charge,Aerodactyl,Rock,Flying
Ancient Power,Rock,Charge,Anorith,Rock,Bug
Ancient Power,Rock,Charge,Archen,Rock,Flying
Ancient Power,Rock,Charge,Archeops,Rock,Flying
Ancient Power,Rock,Charge,Articuno,Ice,Flying
Ancient Power,Rock,Charge,Articuno Normal,Ice,Flying
Ancient Power,Rock,Charge,Articuno Purified,Ice,Flying
Ancient Power,Rock,Charge,Articuno Shadow,Ice,Flying
Ancient Power,Rock,Charge,Bayleef,Grass,
Ancient Power,Rock,Charge,Carracosta,Water,Rock
Ancient Power,Rock,Charge,Cranidos,Rock,
Ancient Power,Rock,Charge,Exeggcute,Grass,Psychic
Ancient Power,Rock,Charge,Giratina,Ghost,Dragon
Ancient Power,Rock,Charge,Giratina Altered,Ghost,Dragon
Ancient Power,Rock,Charge,Golem,Rock,Ground
Ancient Power,Rock,Charge,Golem Normal,Rock,Ground
Ancient Power,Rock,Charge,Golem Purified,Rock,Ground
Ancient Power,Rock,Charge,Golem Shadow,Rock,Ground
Ancient Power,Rock,Charge,Kabuto,Rock,Water
Ancient Power,Rock,Charge,Kabutops,Rock,Water
Ancient Power,Rock,Charge,Kyurem White,Dragon,Ice
Ancient Power,Rock,Charge,Larvitar,Rock,Ground
Ancient Power,Rock,Charge,Larvitar Normal,Rock,Ground
Ancient Power,Rock,Charge,Larvitar Purified,Rock,Ground
Ancient Power,Rock,Charge,Larvitar Shadow,Rock,Ground
Ancient Power,Rock,Charge,Lileep,Rock,Grass
Ancient Power,Rock,Charge,Mew,Psychic,
Ancient Power,Rock,Charge,Mew,Psychic,
Ancient Power,Rock,Charge,Moltres,Fire,Flying
Ancient Power,Rock,Charge,Moltres Normal,Fire,Flying
Ancient Power,Rock,Charge,Moltres Purified,Fire,Flying
Ancient Power,Rock,Charge,Moltres Shadow,Fire,Flying
Ancient Power,Rock,Charge,Omanyte,Rock,Water
Ancient Power,Rock,Charge,Omastar,Rock,Water
Ancient Power,Rock,Charge,Pupitar,Rock,Ground
Ancient Power,Rock,Charge,Pupitar Normal,Rock,Ground
Ancient Power,Rock,Charge,Pupitar Purified,Rock,Ground
Ancient Power,Rock,Charge,Pupitar Shadow,Rock,Ground
Ancient Power,Rock,Charge,Rayquaza,Dragon,Flying
Ancient Power,Rock,Charge,Relicanth,Water,Rock
Ancient Power,Rock,Charge,Shieldon,Rock,Steel
Ancient Power,Rock,Charge,Sigilyph,Psychic,Flying
Ancient Power,Rock,Charge,Tangrowth,Grass,
Ancient Power,Rock,Charge,Tirtouga,Water,Rock
Ancient Power,Rock,Charge,Togekiss,Fairy,Flying
Ancient Power,Rock,Charge,Togepi,Fairy,
Ancient Power,Rock,Charge,Togetic,Fairy,Flying
Ancient Power,Rock,Charge,Yanma,Bug,Flying
Ancient Power,Rock,Charge,Yanmega,Bug,Flying
Ancient Power,Rock,Charge,Zapdos,Electric,Flying
Ancient Power,Rock,Charge,Zapdos Normal,Electric,Flying
Ancient Power,Rock,Charge,Zapdos Purified,Electric,Flying
Ancient Power,Rock,Charge,Zapdos Shadow,Electric,Flying
Aqua Jet,Water,Charge,Anorith,Rock,Bug
Aqua Jet,Water,Charge,Basculin,Water,
Aqua Jet,Water,Charge,Basculin Blue Striped,Water,
Aqua Jet,Water,Charge,Basculin Red Striped,Water,
Aqua Jet,Water,Charge,Buizel,Water,
Aqua Jet,Water,Charge,Carvanha,Water,Dark
Aqua Jet,Water,Charge,Corphish,Water,
Aqua Jet,Water,Charge,Floatzel,Water,
Aqua Jet,Water,Charge,Kabuto,Rock,Water
Aqua Jet,Water,Charge,Keldeo Ordinary,Water,Fighting
Aqua Jet,Water,Charge,Keldeo Ordinary,Water,Fighting
Aqua Jet,Water,Charge,Keldeo Resolute,Water,Fighting
Aqua Jet,Water,Charge,Luvdisc,Water,
Aqua Jet,Water,Charge,Squirtle,Water,
Aqua Jet,Water,Charge,Squirtle Fall 2019,Water,
Aqua Jet,Water,Charge,Squirtle Normal,Water,
Aqua Jet,Water,Charge,Squirtle Purified,Water,
Aqua Jet,Water,Charge,Squirtle Shadow,Water,
Aqua Jet,Water,Charge,Surskit,Bug,Water
Aqua Jet,Water,Charge,Totodile,Water,
Aqua Jet,Water,Charge,Wartortle,Water,
Aqua Jet,Water,Charge,Wartortle Normal,Water,
Aqua Jet,Water,Charge,Wartortle Purified,Water,
Aqua Jet,Water,Charge,Wartortle Shadow,Water,
Aqua Tail,Water,Charge,Axew,Dragon,
Aqua Tail,Water,Charge,Barboach,Water,Ground
Aqua Tail,Water,Charge,Basculin,Water,
Aqua Tail,Water,Charge,Basculin Blue Striped,Water,
Aqua Tail,Water,Charge,Basculin Red Striped,Water,
Aqua Tail,Water,Charge,Cinccino,Normal,
Aqua Tail,Water,Charge,Dewott,Water,
Aqua Tail,Water,Charge,Dragonair,Dragon,
Aqua Tail,Water,Charge,Dragonair Normal,Dragon,
Aqua Tail,Water,Charge,Dragonair Purified,Dragon,
Aqua Tail,Water,Charge,Dragonair Shadow,Dragon,
Aqua Tail,Water,Charge,Drapion,Poison,Dark
Aqua Tail,Water,Charge,Dratini,Dragon,
Aqua Tail,Water,Charge,Dratini Normal,Dragon,
Aqua Tail,Water,Charge,Dratini Purified,Dragon,
Aqua Tail,Water,Charge,Dratini Shadow,Dragon,
Aqua Tail,Water,Charge,Fraxure,Dragon,
Aqua Tail,Water,Charge,Goldeen,Water,
Aqua Tail,Water,Charge,Huntail,Water,
Aqua Tail,Water,Charge,Marill,Water,Fairy
Aqua Tail,Water,Charge,Minccino,Normal,
Aqua Tail,Water,Charge,Oshawott,Water,
Aqua Tail,Water,Charge,Psyduck,Water,
Aqua Tail,Water,Charge,Psyduck Normal,Water,
Aqua Tail,Water,Charge,Psyduck Purified,Water,
Aqua Tail,Water,Charge,Psyduck Shadow,Water,
Aqua Tail,Water,Charge,Qwilfish,Water,Poison
Aqua Tail,Water,Charge,Relicanth,Water,Rock
Aqua Tail,Water,Charge,Seel,Water,
Aqua Tail,Water,Charge,Skorupi,Poison,Bug
Aqua Tail,Water,Charge,Squirtle,Water,
Aqua Tail,Water,Charge,Squirtle Fall 2019,Water,
Aqua Tail,Water,Charge,Squirtle Normal,Water,
Aqua Tail,Water,Charge,Squirtle Purified,Water,
Aqua Tail,Water,Charge,Squirtle Shadow,Water,
Aqua Tail,Water,Charge,Vaporeon,Water,
Astonish,Ghost,Fast,Aipom,Normal,
Astonish,Ghost,Fast,Ambipom,Normal,
Astonish,Ghost,Fast,Amoonguss,Grass,Poison
Astonish,Ghost,Fast,Beheeyem,Psychic,
Astonish,Ghost,Fast,Chimecho,Psychic,
Astonish,Ghost,Fast,Chingling,Psychic,
Astonish,Ghost,Fast,Cofagrigus,Ghost,
Astonish,Ghost,Fast,Drifblim,Ghost,Flying
Astonish,Ghost,Fast,Drifloon,Ghost,Flying
Astonish,Ghost,Fast,Dunsparce,Normal,
Astonish,Ghost,Fast,Dusknoir,Ghost,
Astonish,Ghost,Fast,Dusknoir Normal,Ghost,
Astonish,Ghost,Fast,Dusknoir Purified,Ghost,
Astonish,Ghost,Fast,Dusknoir Shadow,Ghost,
Astonish,Ghost,Fast,Duskull,Ghost,
Astonish,Ghost,Fast,Duskull Normal,Ghost,
Astonish,Ghost,Fast,Duskull Purified,Ghost,
Astonish,Ghost,Fast,Duskull Shadow,Ghost,
Astonish,Ghost,Fast,Elgyem,Psychic,
Astonish,Ghost,Fast,Exploud,Normal,
Astonish,Ghost,Fast,Foongus,Grass,Poison
Astonish,Ghost,Fast,Gastly,Ghost,Poison
Astonish,Ghost,Fast,Golett,Ground,Ghost
Astonish,Ghost,Fast,Golurk,Ground,Ghost
Astonish,Ghost,Fast,Haunter,Ghost,Poison
Astonish,Ghost,Fast,Lampent,Ghost,Fire
Astonish,Ghost,Fast,Litwick,Ghost,Fire
Astonish,Ghost,Fast,Mawile,Steel,Fairy
Astonish,Ghost,Fast,Misdreavus,Ghost,
Astonish,Ghost,Fast,Rotom,Electric,Ghost
Astonish,Ghost,Fast,Rotom Fan,Electric,Flying
Astonish,Ghost,Fast,Rotom Frost,Electric,Ice
Astonish,Ghost,Fast,Rotom Heat,Electric,Fire
Astonish,Ghost,Fast,Rotom Mow,Electric,Grass
Astonish,Ghost,Fast,Rotom Normal,Electric,Ghost
Astonish,Ghost,Fast,Rotom Wash,Electric,Water
Astonish,Ghost,Fast,Shuppet,Ghost,
Astonish,Ghost,Fast,Shuppet Normal,Ghost,
Astonish,Ghost,Fast,Shuppet Purified,Ghost,
Astonish,Ghost,Fast,Shuppet Shadow,Ghost,
Astonish,Ghost,Fast,Swablu,Normal,Flying
Astonish,Ghost,Fast,Thundurus,Electric,Flying
Astonish,Ghost,Fast,Thundurus Incarnate,Electric,Flying
Astonish,Ghost,Fast,Thundurus Therian,Electric,Flying
Astonish,Ghost,Fast,Vanillish,Ice,
Astonish,Ghost,Fast,Vanillite,Ice,
Astonish,Ghost,Fast,Vanilluxe,Ice,
Astonish,Ghost,Fast,Whismur,Normal,
Astonish,Ghost,Fast,Yamask,Ghost,
Aura Sphere,Fighting,Charge,Lucario,Fighting,Steel
Aurora Beam,Ice,Charge,Cloyster,Water,Ice
Aurora Beam,Ice,Charge,Cloyster Normal,Water,Ice
Aurora Beam,Ice,Charge,Cloyster Purified,Water,Ice
Aurora Beam,Ice,Charge,Cloyster Shadow,Water,Ice
Aurora Beam,Ice,Charge,Cresselia,Psychic,
Aurora Beam,Ice,Charge,Cryogonal,Ice,
Aurora Beam,Ice,Charge,Dewgong,Water,Ice
Aurora Beam,Ice,Charge,Octillery,Water,
Aurora Beam,Ice,Charge,Remoraid,Water,
Aurora Beam,Ice,Charge,Seadra,Water,
Aurora Beam,Ice,Charge,Sealeo,Ice,Water
Aurora Beam,Ice,Charge,Seel,Water,
Aurora Beam,Ice,Charge,Spheal,Ice,Water
Avalanche,Ice,Charge,Cloyster,Water,Ice
Avalanche,Ice,Charge,Cloyster Normal,Water,Ice
Avalanche,Ice,Charge,Cloyster Purified,Water,Ice
Avalanche,Ice,Charge,Cloyster Shadow,Water,Ice
Avalanche,Ice,Charge,Froslass,Ice,Ghost
Avalanche,Ice,Charge,Glaceon,Ice,
Avalanche,Ice,Charge,Glalie,Ice,
Avalanche,Ice,Charge,Jynx,Ice,Psychic
Avalanche,Ice,Charge,Mamoswine,Ice,Ground
Avalanche,Ice,Charge,Piloswine,Ice,Ground
Avalanche,Ice,Charge,Sneasel,Dark,Ice
Avalanche,Ice,Charge,Sneasel Normal,Dark,Ice
Avalanche,Ice,Charge,Sneasel Purified,Dark,Ice
Avalanche,Ice,Charge,Sneasel Shadow,Dark,Ice
Avalanche,Ice,Charge,Snorunt,Ice,
Avalanche,Ice,Charge,Weavile,Dark,Ice
Avalanche,Ice,Charge,Weavile Normal,Dark,Ice
Avalanche,Ice,Charge,Weavile Purified,Dark,Ice
Avalanche,Ice,Charge,Weavile Shadow,Dark,Ice
Bite,Dark,Fast,Aerodactyl,Rock,Flying
Bite,Dark,Fast,Arbok,Poison,
Bite,Dark,Fast,Arbok Normal,Poison,
Bite,Dark,Fast,Arbok Purified,Poison,
Bite,Dark,Fast,Arbok Shadow,Poison,
Bite,Dark,Fast,Bagon,Dragon,
Bite,Dark,Fast,Bagon Normal,Dragon,
Bite,Dark,Fast,Bagon Purified,Dragon,
Bite,Dark,Fast,Bagon Shadow,Dragon,
Bite,Dark,Fast,Blastoise,Water,
Bite,Dark,Fast,Blastoise Normal,Water,
Bite,Dark,Fast,Blastoise Purified,Water,
Bite,Dark,Fast,Blastoise Shadow,Water,
Bite,Dark,Fast,Carnivine,Grass,
Bite,Dark,Fast,Carvanha,Water,Dark
Bite,Dark,Fast,Crobat,Poison,Flying
Bite,Dark,Fast,Crobat Normal,Poison,Flying
Bite,Dark,Fast,Crobat Purified,Poison,Flying
Bite,Dark,Fast,Crobat Shadow,Poison,Flying
Bite,Dark,Fast,Drapion,Poison,Dark
Bite,Dark,Fast,Druddigon,Dragon,
Bite,Dark,Fast,Dunsparce,Normal,
Bite,Dark,Fast,Exploud,Normal,
Bite,Dark,Fast,Feraligatr,Water,
Bite,Dark,Fast,Golbat,Poison,Flying
Bite,Dark,Fast,Golbat Normal,Poison,Flying
Bite,Dark,Fast,Golbat Purified,Poison,Flying
Bite,Dark,Fast,Golbat Shadow,Poison,Flying
Bite,Dark,Fast,Granbull,Fairy,
Bite,Dark,Fast,Grimer Alola,Poison,Dark
Bite,Dark,Fast,Grotle,Grass,
Bite,Dark,Fast,Grotle Normal,Grass,
Bite,Dark,Fast,Grotle Purified,Grass,
Bite,Dark,Fast,Grotle Shadow,Grass,
Bite,Dark,Fast,Growlithe,Fire,
Bite,Dark,Fast,Growlithe Normal,Fire,
Bite,Dark,Fast,Growlithe Purified,Fire,
Bite,Dark,Fast,Growlithe Shadow,Fire,
Bite,Dark,Fast,Gyarados,Water,Flying
Bite,Dark,Fast,Gyarados Normal,Water,Flying
Bite,Dark,Fast,Gyarados Purified,Water,Flying
Bite,Dark,Fast,Gyarados Shadow,Water,Flying
Bite,Dark,Fast,Hippopotas,Ground,
Bite,Dark,Fast,Hippopotas Normal,Ground,
Bite,Dark,Fast,Hippopotas Purified,Ground,
Bite,Dark,Fast,Hippopotas Shadow,Ground,
Bite,Dark,Fast,Hippowdon,Ground,
Bite,Dark,Fast,Hippowdon Normal,Ground,
Bite,Dark,Fast,Hippowdon Purified,Ground,
Bite,Dark,Fast,Hippowdon Shadow,Ground,
Bite,Dark,Fast,Huntail,Water,
Bite,Dark,Fast,Hydreigon,Dark,Dragon
Bite,Dark,Fast,Krokorok,Ground,Dark
Bite,Dark,Fast,Larvitar,Rock,Ground
Bite,Dark,Fast,Larvitar Normal,Rock,Ground
Bite,Dark,Fast,Larvitar Purified,Rock,Ground
Bite,Dark,Fast,Larvitar Shadow,Rock,Ground
Bite,Dark,Fast,Loudred,Normal,
Bite,Dark,Fast,Luxio,Electric,
Bite,Dark,Fast,Mawile,Steel,Fairy
Bite,Dark,Fast,Meowth,Normal,
Bite,Dark,Fast,Meowth Alola,Dark,
Bite,Dark,Fast,Meowth Normal,Normal,
Bite,Dark,Fast,Meowth Purified,Normal,
Bite,Dark,Fast,Meowth Shadow,Normal,
Bite,Dark,Fast,Mightyena,Dark,
Bite,Dark,Fast,Muk Alola,Poison,Dark
Bite,Dark,Fast,Nidoqueen,Poison,Ground
Bite,Dark,Fast,Nidoran Female,Poison,
Bite,Dark,Fast,Nidorina,Poison,
Bite,Dark,Fast,Patrat,Normal,
Bite,Dark,Fast,Pupitar,Rock,Ground
Bite,Dark,Fast,Pupitar Normal,Rock,Ground
Bite,Dark,Fast,Pupitar Purified,Rock,Ground
Bite,Dark,Fast,Pupitar Shadow,Rock,Ground
Bite,Dark,Fast,Raticate,Normal,
Bite,Dark,Fast,Raticate Alola,Dark,Normal
Bite,Dark,Fast,Raticate Normal,Normal,
Bite,Dark,Fast,Raticate Purified,Normal,
Bite,Dark,Fast,Raticate Shadow,Normal,
Bite,Dark,Fast,Salamence,Dragon,Flying
Bite,Dark,Fast,Salamence Normal,Dragon,Flying
Bite,Dark,Fast,Salamence Purified,Dragon,Flying
Bite,Dark,Fast,Salamence Shadow,Dragon,Flying
Bite,Dark,Fast,Sandile,Ground,Dark
Bite,Dark,Fast,Sharpedo,Water,Dark
Bite,Dark,Fast,Simipour,Water,
Bite,Dark,Fast,Simisage,Grass,
Bite,Dark,Fast,Simisear,Fire,
Bite,Dark,Fast,Skuntank,Poison,Dark
Bite,Dark,Fast,Snubbull,Fairy,
Bite,Dark,Fast,Stunky,Poison,Dark
Bite,Dark,Fast,Tirtouga,Water,Rock
Bite,Dark,Fast,Tornadus,Flying,
Bite,Dark,Fast,Tornadus Incarnate,Flying,
Bite,Dark,Fast,Tornadus Therian,Flying,
Bite,Dark,Fast,Torterra,Grass,Ground
Bite,Dark,Fast,Torterra Normal,Grass,Ground
Bite,Dark,Fast,Torterra Purified,Grass,Ground
Bite,Dark,Fast,Torterra Shadow,Grass,Ground
Bite,Dark,Fast,Tyranitar,Rock,Dark
Bite,Dark,Fast,Tyranitar Normal,Rock,Dark
Bite,Dark,Fast,Tyranitar Purified,Rock,Dark
Bite,Dark,Fast,Tyranitar Shadow,Rock,Dark
Bite,Dark,Fast,Wartortle,Water,
Bite,Dark,Fast,Wartortle Normal,Water,
Bite,Dark,Fast,Wartortle Purified,Water,
Bite,Dark,Fast,Wartortle Shadow,Water,
Bite,Dark,Fast,Watchog,Normal,
Bite,Dark,Fast,Zubat,Poison,Flying
Bite,Dark,Fast,Zubat Normal,Poison,Flying
Bite,Dark,Fast,Zubat Purified,Poison,Flying
Bite,Dark,Fast,Zubat Shadow,Poison,Flying
Bite,Dark,Fast,Zweilous,Dark,Dragon
Blaze Kick,Fire,Charge,Blaziken,Fire,Fighting
